model,attribute,test_accuracy,test_loss,f1_score,precision,recall,true_positives,false_negatives,false_positives,true_negatives,total_acertos,total_erros,total_train_time_sec,dataset
MobileNetV2,upper_color,0.8512,0.4734,0.8494,0.851,0.8512,0,0,0,0,5299,926,1285.2887,PAR2025
EfficientNet-B0,upper_color,0.8601,0.4412,0.8576,0.858,0.8601,0,0,0,0,5354,871,1711.6609,PAR2025
SwinV2-T,upper_color,0.8646,0.4521,0.862,0.8646,0.8646,0,0,0,0,5382,843,6642.8562,PAR2025
MobileNetV2,lower_color,0.8837,0.3356,0.8814,0.8817,0.8837,0,0,0,0,5501,724,1289.9382,PAR2025
EfficientNet-B0,lower_color,0.8914,0.3119,0.8895,0.8898,0.8914,0,0,0,0,5549,676,1709.2042,PAR2025
SwinV2-T,lower_color,0.8961,0.2974,0.8936,0.8946,0.8961,0,0,0,0,5578,647,7265.8687,PAR2025
MobileNetV2,gender,0.9446,0.1951,0.9439,0.9443,0.9446,1541,237,108,4339,5880,345,1364.5313,PAR2025
EfficientNet-B0,gender,0.9496,0.1894,0.949,0.9494,0.9496,1555,223,91,4356,5911,314,1796.9353,PAR2025
SwinV2-T,gender,0.948,0.1438,0.9478,0.9477,0.948,1602,176,148,4299,5901,324,7305.0135,PAR2025
MobileNetV2,bag,0.8998,0.346,0.901,0.9027,0.8998,880,272,352,4721,5601,624,1367.1654,PAR2025
EfficientNet-B0,bag,0.91,0.5068,0.9106,0.9112,0.91,890,262,298,4775,5665,560,1789.988,PAR2025
SwinV2-T,bag,0.9089,0.3604,0.9087,0.9085,0.9089,861,291,276,4797,5658,567,7291.9029,PAR2025
MobileNetV2,hat,0.9809,0.0719,0.9808,0.9808,0.9809,581,64,55,5525,6106,119,1357.6883,PAR2025
EfficientNet-B0,hat,0.9801,0.0659,0.98,0.98,0.9801,578,67,57,5523,6101,124,1799.6608,PAR2025
SwinV2-T,hat,0.9835,0.0535,0.9834,0.9834,0.9835,592,53,50,5530,6122,103,7241.1391,PAR2025
