model,attribute,test_accuracy,test_loss,f1_score,precision,recall,true_positives,false_negatives,false_positives,true_negatives,total_acertos,total_erros,total_train_time_sec,dataset
MobileNetV2,upper_color,0.8331,0.5309,0.8301,0.8321,0.8331,0,0,0,0,5186,1039,2307.9616,PAR2025
EfficientNet-B0,upper_color,0.8422,0.499,0.84,0.8459,0.8422,0,0,0,0,5243,982,3003.4971,PAR2025
SwinV2-T,upper_color,0.8345,0.4973,0.8314,0.8347,0.8345,0,0,0,0,5195,1030,11510.5088,PAR2025
MobileNetV2,lower_color,0.87,0.4113,0.8649,0.8653,0.87,0,0,0,0,5416,809,2233.1058,PAR2025
EfficientNet-B0,lower_color,0.8692,0.4185,0.8627,0.8608,0.8692,0,0,0,0,5411,814,2965.6853,PAR2025
SwinV2-T,lower_color,0.871,0.3918,0.8627,0.8612,0.871,0,0,0,0,5422,803,11451.4549,PAR2025
MobileNetV2,gender,0.8961,0.2602,0.8943,0.8944,0.8961,1362,416,231,4216,5578,647,2231.4655,PAR2025
EfficientNet-B0,gender,0.9038,0.2825,0.9022,0.9024,0.9038,1389,389,210,4237,5626,599,2967.9111,PAR2025
SwinV2-T,gender,0.863,0.3283,0.8625,0.8621,0.863,1332,446,407,4040,5372,853,11455.4614,PAR2025
MobileNetV2,bag,0.8426,0.4625,0.8362,0.8325,0.8426,556,596,384,4689,5245,980,2186.0491,PAR2025
EfficientNet-B0,bag,0.8488,0.4524,0.8445,0.8415,0.8488,603,549,392,4681,5284,941,2831.509,PAR2025
SwinV2-T,bag,0.8326,0.4506,0.8113,0.8093,0.8326,362,790,252,4821,5183,1042,11119.5349,PAR2025
MobileNetV2,hat,0.9656,0.1101,0.9649,0.9646,0.9656,509,136,78,5502,6011,214,2379.0042,PAR2025
EfficientNet-B0,hat,0.969,0.102,0.9684,0.9682,0.969,523,122,71,5509,6032,193,3079.5218,PAR2025
SwinV2-T,hat,0.9679,0.1143,0.9672,0.967,0.9679,518,127,73,5507,6025,200,11914.0282,PAR2025
