model,attribute,test_accuracy,test_loss,f1_score,precision,recall,true_positives,false_negatives,false_positives,true_negatives,total_acertos,total_erros,total_train_time_sec,dataset
MobileNetV2,upper_color,0.8291,0.6045,0.8216,0.829,0.8291,0,0,0,0,5161,1064,2438.8596,PAR2025
EfficientNet-B0,upper_color,0.8431,0.4909,0.8389,0.8435,0.8431,0,0,0,0,5248,977,3350.005,PAR2025
SwinV2-T,upper_color,0.8492,0.5418,0.8444,0.8462,0.8492,0,0,0,0,5286,939,12923.4973,PAR2025
MobileNetV2,lower_color,0.867,0.4066,0.8601,0.8587,0.867,0,0,0,0,5397,828,2440.9233,PAR2025
EfficientNet-B0,lower_color,0.8814,0.3488,0.8787,0.8783,0.8814,0,0,0,0,5487,738,3333.4044,PAR2025
SwinV2-T,lower_color,0.8845,0.3463,0.8845,0.8877,0.8845,0,0,0,0,5506,719,12111.9499,PAR2025
MobileNetV2,gender,0.8742,0.2944,0.8719,0.8717,0.8742,1287,491,292,4155,5442,783,2721.9942,PAR2025
EfficientNet-B0,gender,0.9068,0.2705,0.9046,0.906,0.9068,1366,412,168,4279,5645,580,3148.1883,PAR2025
SwinV2-T,gender,0.8961,0.2678,0.8944,0.8944,0.8961,1370,408,239,4208,5578,647,11374.4519,PAR2025
MobileNetV2,bag,0.866,0.5009,0.8595,0.8572,0.866,611,541,293,4780,5391,834,2219.0836,PAR2025
EfficientNet-B0,bag,0.8906,0.5225,0.8874,0.8859,0.8906,732,420,261,4812,5544,681,2948.5936,PAR2025
SwinV2-T,bag,0.8829,0.4691,0.8781,0.8765,0.8829,680,472,257,4816,5496,729,11375.6729,PAR2025
MobileNetV2,hat,0.9648,0.1381,0.9643,0.964,0.9648,514,131,88,5492,6006,219,2221.4943,PAR2025
EfficientNet-B0,hat,0.9642,0.1499,0.9635,0.9632,0.9642,508,137,86,5494,6002,223,2949.0001,PAR2025
SwinV2-T,hat,0.9703,0.1143,0.9697,0.9695,0.9703,526,119,66,5514,6040,185,11722.4231,PAR2025
