model,attribute,test_accuracy,test_loss,f1_score,precision,recall,true_positives,false_negatives,false_positives,true_negatives,total_acertos,total_erros,total_train_time_sec,dataset
MobileNetV2,upper_color,0.7746,0.7792,0.7658,0.7684,0.7746,0,0,0,0,4822,1403,3206.2701,PAR2025
EfficientNet-B0,upper_color,0.7933,0.6821,0.7854,0.7914,0.7933,0,0,0,0,4938,1287,3755.6032,PAR2025
SwinV2-T,upper_color,0.7671,0.8101,0.7593,0.7702,0.7671,0,0,0,0,4775,1450,12271.7022,PAR2025
MobileNetV2,lower_color,0.8472,0.4915,0.8433,0.8511,0.8472,0,0,0,0,5274,951,2390.4703,PAR2025
EfficientNet-B0,lower_color,0.8527,0.4511,0.8516,0.8528,0.8527,0,0,0,0,5308,917,3195.1758,PAR2025
SwinV2-T,lower_color,0.8477,0.4658,0.8368,0.837,0.8477,0,0,0,0,5277,948,12264.9213,PAR2025
MobileNetV2,gender,0.7672,0.5003,0.7411,0.7527,0.7672,631,1147,302,4145,4776,1449,2390.5367,PAR2025
EfficientNet-B0,gender,0.7767,0.4867,0.7515,0.7658,0.7767,659,1119,271,4176,4835,1390,3198.5609,PAR2025
SwinV2-T,gender,0.7206,0.5755,0.6409,0.6819,0.7206,168,1610,129,4318,4486,1739,13841.7649,PAR2025
MobileNetV2,bag,0.8376,0.4411,0.8228,0.8192,0.8376,437,715,296,4777,5214,1011,3053.2239,PAR2025
EfficientNet-B0,bag,0.8422,0.4435,0.8287,0.8255,0.8422,461,691,291,4782,5243,982,3711.7065,PAR2025
SwinV2-T,bag,0.8321,0.4528,0.8074,0.8073,0.8321,331,821,224,4849,5180,1045,13740.2246,PAR2025
MobileNetV2,hat,0.9667,0.1293,0.9658,0.9656,0.9667,502,143,64,5516,6018,207,3020.4886,PAR2025
EfficientNet-B0,hat,0.9661,0.1273,0.9651,0.965,0.9661,501,144,67,5513,6014,211,3682.8837,PAR2025
SwinV2-T,hat,0.9648,0.1318,0.9637,0.9636,0.9648,494,151,68,5512,6006,219,13126.0753,PAR2025
